filename,lang,word,norm,pos,lemma
ES1800_POS/PSCR7776,spanish,seguidas,seguidas,NCFP000,seguida
ES1800_POS/PSCR7776,spanish,seguidas,seguidas,VMP00PF,seguir
ES1800_POS/PSCR7762,spanish,sea,sea,VSSP0S0,ser
ES1800_POS/PSCR7789,spanish,señor,señor,NP00000,señor
ES1800_POS/PSCR7789,spanish,servicios,servicios,NCMP000,servicio
ES1800_POS/PSCR7789,spanish,sea,sea,VSSP0S0,ser
ES1800_POS/PS9036,spanish,se,se,P00CN000,se
ES1800_POS/PS4062,spanish,se,se,P00CN000,se
ES1800_POS/PS4062,spanish,se,se,P00CN000,se
ES1800_POS/PS4062,spanish,se,se,P00CN000,se
ES1800_POS/PS4062,spanish,se,se,P00CN000,se
ES1800_POS/PS4062,spanish,servira,servirá,VMIF3S0,servir
ES1800_POS/PS4062,spanish,se,se,PP3CN000,se
ES1800_POS/PS4076,spanish,ser,ser,VSN0000,ser
ES1800_POS/PS4076,spanish,se,se,P00CN000,se
ES1800_POS/PS4076,spanish,segun,según,SPS00,según
ES1800_POS/PS4076,spanish,seriamte,seriamente,RG,seriamente
ES1800_POS/PS4076,spanish,se,sé,VMIP1S0,saber
ES1800_POS/PS4076,spanish,se,sé,VMIP1S0,saber
ES1800_POS/PS4076,spanish,se,se,P00CN000,se
ES1800_POS/PS4076,spanish,seguridad,seguridad,NCFS000,seguridad
ES1800_POS/PS4076,spanish,se,se,P00CN000,se
ES1800_POS/PS4076,spanish,se,se,P00CN000,se
ES1800_POS/PS4076,spanish,sean,sean,VSSP3P0,ser
ES1800_POS/PS4076,spanish,se,se,P00CN000,se
ES1800_POS/PS4076,spanish,se,se,P00CN000,se
ES1800_POS/PS4076,spanish,se,se,P00CN000,se
ES1800_POS/PS4076,spanish,servicios,servicios,NCMP000,servicio
ES1800_POS/PS4076,spanish,se,se,P00CN000,se
ES1800_POS/PS4076,spanish,servicio,servicio,NCMS000,servicio
ES1800_POS/PS4076,spanish,se,se,P00CN000,se
ES1800_POS/PS4076,spanish,se,se,P00CN000,se
ES1800_POS/PS4076,spanish,se,se,P00CN000,se
ES1800_POS/PS4076,spanish,se,se,P00CN000,se
ES1800_POS/PS4076,spanish,se,se,P00CN000,se
ES1800_POS/PS6107,spanish,se,se,P00CN000,se
ES1800_POS/PS6107,spanish,se,se,PP3CN000,se
ES1800_POS/PSCR6905,spanish,sera,será,VSIF3S0,ser
ES1800_POS/PSCR6905,spanish,se,se,P00CN000,se
ES1800_POS/PSCR6905,spanish,se,se,P00CN000,se
ES1800_POS/PSCR6905,spanish,se,se,P00CN000,se
ES1800_POS/PSCR6905,spanish,se,se,P00CN000,se
ES1800_POS/PSCR6905,spanish,se,sé,VMIP1S0,saber
ES1800_POS/PSCR6905,spanish,ser,ser,VSN0000,ser
ES1800_POS/PSCR6911,spanish,servilleta,servilleta,NCFS000,servilleta
ES1800_POS/PSCR6911,spanish,se,sé,VMIP1S0,saber
ES1800_POS/PSCR6911,spanish,se,sé,VMIP1S0,saber
ES1800_POS/PSCR6911,spanish,ser,ser,VSN0000,ser
ES1800_POS/PSCR2752,spanish,serbir,servir,VMN0000,servir
ES1800_POS/PSCR5767,spanish,segun,según,SPS00,según
ES1800_POS/PSCR5767,spanish,sea,sea,VSSP0S0,ser
ES1800_POS/PSCR5767,spanish,ser,ser,VSN0000,ser
ES1800_POS/PSCR5767,spanish,ser,ser,VSN0000,ser
ES1800_POS/PSCR5767,spanish,se,se,PP3CN000,se
ES1800_POS/PSCR5767,spanish,se,se,P00CN000,se
ES1800_POS/PSCR5767,spanish,señalado,señalado,VMP00SM,señalar
ES1800_POS/PSCR5767,spanish,servido,servido,VMP0000,servir
